Service Name,Product Service Code,Notes
Amazon SageMaker AI,AmazonSageMaker,Excludes Amazon SageMaker AI training plans for training jobs or HyperPod clusters
AWS Secrets Manager,AWSSecretsManager,
AWS Security Hub,AWSSecurityHub,
Amazon Simple Notification Service (SNS),AmazonSNS,
Amazon Simple Queue Service (SQS),AWSQueueService,
AWS Step Functions,AmazonStates,
AWS Storage Gateway,AWSStorageGateway,
AWS Systems Manager,AWSSystemsManager,OpsCenter only
Amazon Timestream,AmazonTimestream,
AWS Transfer Family,AWSTransfer,Excludes AWSDataTransfer
AWS Transit Gateway,AmazonVPC,"Includes Transit Gateway VPN, VPC, Peering, DirectConnect, DX; excludes data transfer costs"
Amazon VPC Lattice,AmazonVPC,
Amazon WorkSpaces,AmazonWorkSpaces,Includes WorkSpaces Core; excludes third-party VDI management software license and third-party OS or software license on virtual desktop
